update,global_step,episodes_completed,mean_return_20,mean_length_20,policy_loss,value_loss,entropy,approx_kl,clip_fraction,learning_rate,sps
1,2048,8,-1172.8202826759748,200.0,0.003835899755358696,0.5943708419799805,0.9302491545677185,0.003976183943450451,0.022607421875,0.0003,9874
2,4096,16,-1227.752003865414,199.5,-0.002650521695613861,0.1324087530374527,0.9246034026145935,0.001493322430178523,0.009326171875,0.0003,10104
3,6144,24,-1245.8016244694131,199.2,0.00043155066668987274,0.08673502504825592,0.9236651062965393,0.0019028661772608757,0.006884765625,0.0003,10329
4,8192,40,-1171.1229612233278,199.0,0.006130659952759743,0.07400037348270416,0.9353640079498291,0.001974351704120636,0.00693359375,0.0003,10430
5,10240,48,-1191.2772578581155,199.0,-0.0026481174863874912,0.08078473806381226,0.9432210922241211,0.005049125757068396,0.046484375,0.0003,10468
6,12288,56,-1174.7168832097773,199.0,0.0008172988891601562,0.0629512295126915,0.9435414671897888,0.002242821967229247,0.006005859375,0.0003,10503
7,14336,64,-1168.6268330244802,199.0,-0.01049428153783083,0.08235441148281097,0.9478044509887695,0.004018404986709356,0.024658203125,0.0003,10543
8,16384,80,-1223.3529030363295,199.0,-0.009560257196426392,0.08496209979057312,0.9532263278961182,0.003712219651788473,0.013818359375,0.0003,10551
9,18432,88,-1200.5463279061444,199.0,-0.0018574520945549011,0.06989908218383789,0.9531318545341492,0.0008694308344274759,0.00419921875,0.0003,10586
10,20480,96,-1125.8781461411863,199.0,0.0026985593140125275,0.05054573342204094,0.9469432234764099,0.001254357397556305,0.005517578125,0.0003,10617
11,22528,112,-1096.8181837474167,199.0,0.0021871738135814667,0.12444368749856949,0.9501492977142334,0.00439069839194417,0.024072265625,0.0003,10620
12,24576,120,-1139.9378740834286,199.0,-0.005750551819801331,0.0854031890630722,0.9452409148216248,0.003844265826046467,0.0423828125,0.0003,10624
13,26624,128,-1119.797085048665,199.0,-0.002111658453941345,0.08536817133426666,0.9430714249610901,0.0026992778293788433,0.017919921875,0.0003,10641
14,28672,136,-1138.0872052119282,199.0,-0.0034971442073583603,0.109552301466465,0.9455547332763672,0.003308576298877597,0.012451171875,0.0003,10646
15,30720,152,-1140.338930865341,199.0,-0.005194595083594322,0.15056607127189636,0.9419820308685303,0.003693957347422838,0.0279296875,0.0003,10630
16,32768,160,-1094.0560321659111,199.0,-0.011039232835173607,0.0956505686044693,0.9356777667999268,0.003676957916468382,0.02421875,0.0003,10633
17,34816,168,-1068.6286988933741,199.0,-0.004838965833187103,0.1127513200044632,0.9311019778251648,0.006396966055035591,0.049658203125,0.0003,10631
18,36864,184,-1060.2591055226774,199.0,-0.004894910380244255,0.18110118806362152,0.934417724609375,0.0033203046768903732,0.023974609375,0.0003,10629
19,38912,192,-1086.1332920365567,199.0,-0.00231858529150486,0.09375211596488953,0.9311169981956482,0.002450997708365321,0.026123046875,0.0003,10632
20,40960,200,-1102.5393888498656,199.0,0.009547198191285133,0.1637759804725647,0.9342367649078369,0.004505186341702938,0.035107421875,0.0003,10644
21,43008,208,-1134.7635043254534,199.0,-0.010017129592597485,0.12376415729522705,0.923616349697113,0.010518701747059822,0.05322265625,0.0003,10655
22,45056,224,-1162.2372911287532,199.0,-0.0067210569977760315,0.28329816460609436,0.9193095564842224,0.0038666371256113052,0.03271484375,0.0003,10591
23,47104,232,-1158.5121190883533,199.0,-0.00928623229265213,0.19212248921394348,0.9151003360748291,0.0046371412463486195,0.04306640625,0.0003,10583
24,49152,240,-1160.6241575643776,199.0,0.0038662180304527283,0.1943112313747406,0.9245188236236572,0.004198707640171051,0.032958984375,0.0003,10593
25,51200,256,-1095.7702325269975,199.0,-0.0008703432977199554,0.3260789215564728,0.921342134475708,0.002866891212761402,0.0232421875,0.0003,10603
26,53248,264,-1090.2829654872744,199.0,0.013506291434168816,0.2155795693397522,0.9157752990722656,0.009188001975417137,0.059228515625,0.0003,10607
